[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /getLegit                 --> KittyStager/internal/api.frontGetTaskByName (3 handlers)
[GIN-debug] POST   /postLegit                --> KittyStager/internal/api.frontPostRecon (3 handlers)
[GIN-debug] POST   /reg                      --> KittyStager/internal/api.frontPostReg (3 handlers)
127.0.0.1 -      [20 Feb 23 15:39 CET] "POST      /reg 200"
127.0.0.1 -      [20 Feb 23 15:39 CET] "POST      /reg 200"
127.0.0.1 -      [20 Feb 23 15:39 CET] "POST      /reg 200"
127.0.0.1 -      [20 Feb 23 15:39 CET] "POST      /reg 200"
127.0.0.1 - weud [20 Feb 23 15:39 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:39 CET] "POST /postLegit 200"
127.0.0.1 - weud [20 Feb 23 15:39 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:39 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:39 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:39 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "POST /postLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:40 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:41 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:42 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:42 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:42 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:42 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:42 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:42 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:42 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:42 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:42 CET] "GET /getLegit 200"
127.0.0.1 - weud [20 Feb 23 15:42 CET] "GET /getLegit 200"
